MJD,cpo_dx,cpo_dy,err_dx,err_dy
54429,6.4e-05,0.00014,6.4e-05,0.00014
54430,4.3e-05,7.8e-05,4.3e-05,7.8e-05
54431,2.2e-05,2.7e-05,2.2e-05,2.7e-05
54432,1.3e-05,1.1e-05,1.3e-05,1.1e-05
54433,-7.6e-05,8e-06,7.6e-05,8e-06
54434,0.000221,-3.8e-05,0.000221,3.8e-05
54435,0.000488,-6.8e-05,0.000488,6.8e-05
54436,0.00044,-4.8e-05,0.00044,4.8e-05
54437,0.00025,-8e-06,0.00025,8e-06
54438,2.8e-05,3.4e-05,2.8e-05,3.4e-05
54439,-5e-06,-1e-05,5e-06,1e-05
54440,-7e-06,2e-06,7e-06,2e-06
54441,-5.6e-05,0.000176,5.6e-05,0.000176
54442,-0.0001,0.000272,0.0001,0.000272
54443,-0.000116,0.00022,0.000116,0.00022
54444,-0.000106,0.000102,0.000106,0.000102
54445,-6.9e-05,-2.3e-05,6.9e-05,2.3e-05
54446,7.5e-05,-2.9e-05,7.5e-05,2.9e-05
54447,0.000137,-2e-05,0.000137,2e-05
54448,-2.9e-05,-5.3e-05,2.9e-05,5.3e-05
54449,-0.000174,-6.3e-05,0.000174,6.3e-05
54450,-0.0002,-2.8e-05,0.0002,2.8e-05
54451,-0.000163,2.7e-05,0.000163,2.7e-05
54452,-9.8e-05,8.5e-05,9.8e-05,8.5e-05
54453,-8.6e-05,0.0001,8.6e-05,0.0001
54454,-9.1e-05,9.7e-05,9.1e-05,9.7e-05
54455,-9.4e-05,8.7e-05,9.4e-05,8.7e-05
54456,-6.1e-05,2.9e-05,6.1e-05,2.9e-05
54457,-1e-05,-4.8e-05,1e-05,4.8e-05
54458,3.4e-05,-0.000111,3.4e-05,0.000111
54459,5.8e-05,-0.000139,5.8e-05,0.000139
54460,5e-05,-0.000111,5e-05,0.000111
54461,-4e-06,-5e-06,4e-06,5e-06
54462,-0.000125,0.00021,0.000125,0.00021
54463,-0.000225,0.000406,0.000225,0.000406
54464,-0.000276,0.000537,0.000276,0.000537
54465,-0.000286,0.000596,0.000286,0.000596
54466,-0.000257,0.000569,0.000257,0.000569
54467,-0.000191,0.000446,0.000191,0.000446
54468,-9e-05,0.000213,9e-05,0.000213
54469,4.9e-05,-0.000163,4.9e-05,0.000163
54470,0.000127,-0.00036,0.000127,0.00036
54471,0.000129,-0.000322,0.000129,0.000322
54472,9e-05,-0.000157,9e-05,0.000157
54473,3.9e-05,5.4e-05,3.9e-05,5.4e-05
54474,5.6e-05,0.000101,5.6e-05,0.000101
54475,9.4e-05,9e-05,9.4e-05,9e-05
54476,0.000128,7e-05,0.000128,7e-05
54477,0.000148,6.7e-05,0.000148,6.7e-05
54478,0.000147,7.5e-05,0.000147,7.5e-05
54479,0.000118,8.7e-05,0.000118,8.7e-05
54480,5.3e-05,0.000102,5.3e-05,0.000102
54481,-0.000134,0.000127,0.000134,0.000127
54482,-0.000259,0.000142,0.000259,0.000142
54483,-0.000185,0.000129,0.000185,0.000129
54484,-5.3e-05,0.000106,5.3e-05,0.000106
54485,5.7e-05,8e-05,5.7e-05,8e-05
54486,0.000144,5.1e-05,0.000144,5.1e-05
54487,0.000195,1.9e-05,0.000195,1.9e-05
