# MJD,    cpo_dx,    cpo_dy
52350,  0.000232, -0.000151
52351,  0.000217, -0.000131
52352,  0.000195, -0.000116
52353,  0.000177, -0.000120
52354,  0.000164, -0.000132
52355,  0.000155, -0.000148
52356,  0.000181, -0.000174
52357,  0.000219, -0.000199
52358,  0.000244, -0.000211
52359,  0.000240, -0.000201
52360,  0.000164, -0.000142
52361,  0.000068, -0.000068
52362,  0.000043, -0.000039
52363,  0.000083, -0.000053
52364,  0.000154, -0.000086
52365,  0.000239, -0.000126
52366,  0.000319, -0.000162
52367,  0.000378, -0.000184
52368,  0.000420, -0.000172
52369,  0.000191, -0.000209
52370, -0.000044, -0.000205
52371, -0.000135, -0.000141
52372, -0.000124, -0.000086
52373, -0.000024, -0.000095
52374,  0.000167, -0.000243
52375,  0.000220, -0.000287
52376,  0.000137, -0.000210
52377,  0.000105, -0.000138
52378,  0.000127, -0.000085
52379,  0.000162, -0.000045
52380,  0.000199, -0.000023
52381,  0.000212, -0.000059
52382,  0.000210, -0.000118
52383,  0.000199, -0.000178
52384,  0.000157, -0.000201
52385,  0.000101, -0.000200
52386,  0.000052, -0.000191
52387,  0.000024, -0.000178
52388,  0.000073, -0.000173
52389,  0.000148, -0.000175
52390,  0.000217, -0.000181
52391,  0.000214, -0.000205
52392,  0.000166, -0.000237
52393,  0.000104, -0.000268
52394,  0.000042, -0.000291
52395,  0.000016, -0.000290
52396,  0.000009, -0.000274
52397,  0.000016, -0.000247
52398,  0.000067, -0.000159
52399,  0.000133, -0.000059
52400,  0.000183, -0.000003
52401,  0.000196, -0.000027
52402,  0.000148, -0.000193
52403,  0.000038, -0.000220
52404,  0.000013, -0.000244
52405,  0.000087, -0.000278
52406,  0.000195, -0.000283
52407,  0.000263, -0.000263
52408,  0.000220, -0.000215
52409, -0.000044, -0.000120
52410,  0.000111, -0.000278
52411,  0.000146, -0.000170
52412,  0.000073,  0.000002
52413,  0.000027,  0.000042
52414, -0.000011,  0.000015
52415, -0.000037, -0.000053
52416, -0.000043, -0.000107
52417, -0.000038, -0.000160
52418, -0.000026, -0.000208
52419, -0.000003, -0.000202
52420,  0.000023, -0.000164
52421,  0.000044, -0.000118
52422,  0.000053, -0.000080
52423,  0.000044, -0.000061
52424, -0.000010, -0.000098
52425, -0.000064, -0.000144
52426, -0.000055, -0.000146
52427,  0.000000, -0.000116
52428,  0.000067, -0.000083
52429,  0.000124, -0.000064
52430,  0.000092, -0.000127
52431,  0.000031, -0.000218
52432, -0.000028, -0.000301
52433, -0.000015, -0.000302
52434,  0.000035, -0.000257
52435,  0.000083, -0.000211
52436,  0.000107, -0.000186
52437,  0.000097, -0.000256
52438,  0.000011, -0.000315
52439, -0.000193, -0.000290
52440, -0.000287, -0.000243
52441, -0.000207, -0.000206
52442, -0.000046, -0.000176
52443,  0.000124, -0.000156
52444,  0.000103, -0.000156
52445,  0.000015, -0.000166
52446, -0.000070, -0.000179
52447,  0.000017, -0.000179
52448,  0.000169, -0.000173
52449,  0.000264, -0.000171
52450,  0.000233, -0.000179
52451, -0.000033, -0.000196
52452, -0.000055, -0.000300
52453,  0.000170, -0.000461
52454,  0.000227, -0.000481
52455,  0.000140, -0.000393
52456,  0.000039, -0.000290
52457, -0.000015, -0.000228
52458,  0.000048, -0.000271
52459,  0.000103, -0.000324
52460,  0.000111, -0.000358
52461,  0.000092, -0.000373
52462,  0.000061, -0.000366
52463,  0.000028, -0.000337
52464,  0.000006, -0.000283
52465,  0.000022, -0.000170
52466, -0.000113, -0.000435
52467, -0.000008, -0.000244
